Tempo (ms);Trajetória 1;Trajetória 2
10029;103.315331009924;122.358629295555
10063;103.359360798603;122.39871951802
10095;103.394812782504;122.429634272651
10125;103.417887781195;122.447895745549
10162;103.429742999302;122.455592885191
10192;103.433788372556;122.456840906107
10227;103.433492777462;122.455233488627
10259;103.431446693987;122.453042258905
10293;103.429197271995;122.451331568074
10325;103.427450939704;122.45038226832
10359;103.426377020859;122.450092384282
10391;103.425873937508;122.450235793727
10426;103.42575106405;122.450590284867
10457;103.425829499467;122.450988213421
10493;103.425982909009;122.451327095006
10526;103.426141303796;122.451560912688
10560;103.426276816598;122.451684676962
10595;103.426385031167;122.451717411703
10628;103.426469891783;122.45168745038
10657;103.426535209039;122.451621968554
10692;103.426582193537;122.451540945771
10725;103.426610902769;122.451456343552
10760;103.426623204727;122.451375129835
10793;103.426625002861;122.451303264158
10829;103.426626314071;122.451248932286
10859;103.426639318398;122.451223679065
10894;103.426675077841;122.451239286087
10926;103.426739533686;122.451300898281
10963;103.426830711364;122.451403037761
10995;103.426939638464;122.451533392527
11026;103.42705452669;122.451679480669
11060;103.427164855775;122.451831344749
11096;103.427262692481;122.451979823591
11127;103.427341374297;122.452113465637
11160;103.427393874128;122.452216869362
11191;103.427413291123;122.452273150273
11229;103.427395947774;122.4522719878
11259;103.427345104323;122.452218037096
11293;103.42727272994;122.452129881369
11325;103.427197193615;122.452029070087
11362;103.427136667987;122.451930475283
11394;103.42710282924;122.45184140091
11428;103.427099675557;122.451766559717
11457;103.427126441853;122.451713515587
11494;103.427180872813;122.451695043837
11526;103.427260475432;122.451726010018
11560;103.427361397348;122.451815695494
11593;103.42747719997;122.45196175799
11626;103.427599638056;122.452150898162
11660;103.427720263988;122.452363032491
11695;103.427831051782;122.452573700897
11725;103.427924277088;122.452755899469
11759;103.427992653061;122.452884238705
11792;103.428030806777;122.452941460884
11826;103.42803807563;122.452925382357
11857;103.428019485839;122.4528499217
11894;103.427983011983;122.452736677575
11926;103.427936307018;122.452604953107
11960;103.427885812292;122.452468312526
11996;103.427837698439;122.452336693427
12028;103.427799364286;122.452220146078
12059;103.427780219613;122.452131375461
12095;103.427789796577;122.452083891877
12126;103.427833131695;122.452085434455
12162;103.427907959684;122.45213356193
12191;103.428007066621;122.452218174586
12232;103.428122428978;122.452325690822
12260;103.428247109653;122.45244063487
12292;103.428375052836;122.452546970637
12324;103.428500148433;122.452631049883
12360;103.428615390236;122.452685497096
12392;103.428712953252;122.452711369375
12426;103.428785854721;122.452716010728
12459;103.428830247274;122.452708217985
12492;103.428845970573;122.452694647655
12525;103.428835244916;122.452678868274
12562;103.428801876261;122.452662069807
12592;103.428751449328;122.452644533267
12627;103.428691105609;122.452627235638
12658;103.428628560628;122.452612935872
12698;103.428570596112;122.452606594643
12727;103.428521366606;122.452615099762
12761;103.428481797899;122.452645538481
12794;103.428450611086;122.452701069519
12831;103.428425582103;122.452776313819
12859;103.428404138648;122.452857749535
12892;103.428383683259;122.452930211449
12924;103.428361646853;122.452982489403
12966;103.428335071411;122.453007922785
12991;103.428300171325;122.453003327138
13028;103.428252387584;122.452967877602
13060;103.428187080048;122.452901682307
13094;103.428100767899;122.452806555364
13124;103.427992102675;122.452688240339
13160;103.427862132459;122.452555724458
13191;103.427714825715;122.452418099435
13226;103.427557642775;122.452282374226
13260;103.427400849219;122.452152888263
13298;103.427255962716;122.452031818477
13325;103.427134112699;122.451920577586
13361;103.427043893552;122.451820734837
13394;103.426988704423;122.451732606871
13427;103.426965332398;122.451652658633
13459;103.426965581374;122.451574561109
13496;103.426979868654;122.451494564083
13524;103.426999580493;122.451413694226
13560;103.427016614476;122.451333497765
13591;103.427021385359;122.451251074096
13627;103.427001384237;122.4511569944
13658;103.426942035952;122.451035765927
13693;103.426831655302;122.450870366547
13725;103.426669527416;122.450651437184
13759;103.426470247111;122.450384811285
13792;103.426259220391;122.45008977908
13829;103.426063040476;122.449790020624
13861;103.425900742669;122.449505155441
13895;103.425779904358;122.449247400563
13926;103.425699146535;122.449022264777
13963;103.425653138914;122.448829885583
13993;103.425635142576;122.448666766316
14031;103.425637592658;122.448529140623
14058;103.425653153468;122.44841533439
14092;103.425675687203;122.448324199507
14125;103.425699930053;122.448251251549
14159;103.425720355005;122.448186042457
14191;103.42572993369;122.448112028829
14226;103.425719097401;122.448008569688
14260;103.425675732883;122.447856244827
14295;103.425587375919;122.447645581879
14326;103.425445070488;122.447382811357
14359;103.425247280199;122.447087417156
14391;103.425003055704;122.446785887704
14430;103.424732058313;122.446506096457
14460;103.424458738604;122.446270865228
14502;103.424203669573;122.446091615447
14524;103.423978192949;122.445966673126
14564;103.42378434403;122.445885818869
14593;103.423617685542;122.445837576305
14626;103.423470794233;122.445814125435
14661;103.42333637002;122.445811224688
14693;103.42320898826;122.445824194091
14723;103.423085145756;122.445843819397
14762;103.422962320286;122.44585566505
14793;103.422837841009;122.445842677363
14827;103.42270791496;122.445789780512
14862;103.422567320649;122.445689341773
14894;103.422410484495;122.445543024836
14924;103.422233463356;122.445357309299
14960;103.422035645554;122.445138782318
14990;103.421820667722;122.444894829314
15027;103.42159526047;122.444635438145
15064;103.421365296258;122.444370485863
15097;103.421132436999;122.444105473503
15125;103.420894946392;122.443841138567
15160;103.420651174856;122.443576184566
15192;103.420401780622;122.4433096026
15228;103.420149230923;122.443041379455
15258;103.419896446233;122.442772134882
15294;103.419646381483;122.442502607261
15325;103.419402105491;122.442233513701
15362;103.419166353864;122.44196548657
15392;103.418940480737;122.441698784006
15426;103.418723686122;122.441432895709
15458;103.418513288236;122.44116602811
15497;103.418305839565;122.4408946687
15525;103.418098427203;122.440613877016
15559;103.417889452664;122.440319054339
15593;103.417678682154;122.440009254821
15628;103.41746705338;122.439689453675
