Tempo (ms);Trajetória 1;Trajetória 2
8928;61.8661848508794;43.9563666120875
8962;61.9061321342186;44.0061833829797
8986;61.9389614824044;44.0429047479839
9012;61.9612925411391;44.0623833765406
9062;61.9737327372053;44.0686826496782
9098;61.9788750584291;44.0680869618934
9129;61.9795798615624;44.0653117175382
9161;61.9781526912508;44.0627809930892
9191;61.976111486235;44.0612289336595
9224;61.9742691741517;44.0605345296616
9256;61.9729365056044;44.0603293965553
9299;61.9721301345595;44.0603013130549
9328;61.9717335856789;44.0602764287484
9368;61.9715995848194;44.0601937762089
9399;61.9716026970748;44.0600540540084
9432;61.9716575207758;44.0598791693868
9455;61.971717018873;44.0596899611855
9484;61.9717621916433;44.0594985632535
9512;61.971790514656;44.0593095616261
9547;61.9718068380143;44.0591242958807
9588;61.9718172441159;44.058944661196
9622;61.9718252537339;44.0587745451732
9653;61.97183036387;44.0586178553841
9694;61.9718293438;44.0584754072772
9714;61.9718193168845;44.0583444950745
9756;61.971799648606;44.0582210961019
9803;61.9717711827392;44.0581021109901
9832;61.9717347122585;44.0579861325111
9858;61.9716905240089;44.0578726846996
9900;61.9716387376791;44.0577608368467
9919;61.9715796961035;44.0576482307653
9961;61.9715141289422;44.0575310873965
9996;61.9714426489383;44.0574051810545
10022;61.9713648192091;44.0572675724831
10051;61.9712792046894;44.0571189187544
10075;61.9711847573744;44.0569651679813
10125;61.9710819880406;44.0568172759643
10150;61.9709728490352;44.0566885301008
10192;61.9708599872902;44.0565877338833
10229;61.9707462734752;44.0565050673416
10260;61.970634723156;44.0563903118296
10285;61.9705285751128;44.0561319015681
10317;61.9704311745503;44.0555610465588
10355;61.9703452037561;44.0545240984621
10384;61.9702714266859;44.0530768930954
10421;61.9702083903164;44.0518301064104
10455;61.9701539005324;44.0523583409828
10505;61.9701065428777;44.0573389112426
10538;61.9700652803534;44.0697584676768
10571;61.9700275987332;44.0902830986822
10597;61.9699885326007;44.1144919732632
10626;61.9699421105421;44.1349875286029
10651;61.9698839310751;44.1473556074066
10679;61.9698126519;44.1522720222157
10720;61.9697297762987;44.1527315808717
10745;61.9696383354396;44.1514181864879
10791;61.9695414941805;44.1499145312447
10831;61.9694418620009;44.1488397775834
10858;61.9693415141504;44.1482560704152
10889;61.9692423654785;44.1480149728204
10934;61.9691465543459;44.1479511396526
10960;61.9690566029214;44.147948412938
10985;61.9689751956574;44.1479395682176
11024;61.9689043041449;44.1478911158812
11050;61.9688437053445;44.1477935229385
11091;61.9687900215815;44.1476542810939
11122;61.9687374438151;44.1474894897757
11149;61.9686795611436;44.1473156902592
11192;61.9686110597878;44.1471449603798
11218;61.9685290627141;44.1469831658338
11258;61.9684338259387;44.1468301308244
11291;61.9683280044346;44.1466816365882
11326;61.9682147997407;44.1465327283754
11359;61.9680962939367;44.1463806889108
11399;61.9679726280147;44.1462260160144
11433;61.9678419050689;44.1460713421773
11469;61.9677008067234;44.1459200273402
11496;61.9675462407983;44.1457755591497
11526;61.9673777656239;44.1456416811789
11549;61.9671991474013;44.1455233541497
11597;61.9670177261316;44.1454274341838
11624;61.9668425304793;44.1453592366714
11653;61.9666826674546;44.1453140761645
11690;61.9665457933161;44.1452721107896
11723;61.9664359502522;44.1452060593539
11754;61.9663520339923;44.1450978900287
11799;61.9662887490209;44.1449484257694
11823;61.9662392947739;44.1447712460428
11866;61.9661975336109;44.1445799647498
11895;61.9661586855875;44.1443804772635
11921;61.9661189462417;44.1441700012142
11948;61.9660747088175;44.1439411285743
11984;61.9660218557897;44.1436889054202
12021;61.9659555256679;44.1434154368214
12062;61.9658705864713;44.1431279330881
12085;61.9657623207656;44.1428337467703
12124;61.9656271161505;44.1425373686697
12159;61.9654637080721;44.1422400934502
12194;61.9652743053236;44.1419413896347
12235;61.9650643142252;44.1416409927093
12261;61.964840909423;44.1413413250984
12296;61.9646113853611;44.141050055809
12321;61.9643818659074;44.1407807493927
12355;61.9641565543726;44.1405484111132
12383;61.9639374311014;44.1403607329639
12426;61.9637245776921;44.1402131760739
12453;61.9635172177218;44.1400934181997
12479;61.9633148618986;44.1399890433804
12519;61.9631178674199;44.1398910028584
12546;61.9629272588266;44.1397927347168
12596;61.9627440750944;44.1396887327227
12618;61.9625686924315;44.1395754714717
12661;61.9624004526819;44.1394528930109
12697;61.9622377524453;44.1393231852628
12729;61.9620786100212;44.1391878813042
12759;61.9619213683069;44.1390464134983
12788;61.9617651113121;44.1388973226912
12834;61.9616097071173;44.1387405838728
12855;61.9614556189842;44.1385783094857
12890;61.9613036322176;44.1384131284596
12920;61.9611544559158;44.138246006638
12956;61.9610080070047;44.1380749890357
12988;61.9608626904944;44.1378953007571
13030;61.9607158944028;44.1377015673651
13060;61.9605660766461;44.1374919043062
13101;61.9604144631178;44.1372700625588
13119;61.9602645947099;44.1370427166109
13161;61.9601204929152;44.1368151286115
13191;61.959984875307;44.1365894838185
13222;61.9598579241363;44.1363658420849
13252;61.9597367328229;44.1361436900104
13281;61.9596156509107;44.135922997921
13325;61.9594875116131;44.1357045851658
13354;61.9593450896139;44.1354899231064
13390;61.9591825208029;44.1352804688031
13422;61.9589969024705;44.1350766461664
13457;61.9587889479041;44.1348774293801
13503;61.9585616457265;44.1346812043814
13542;61.9583184693252;44.1344866222743
13573;61.9580631707922;44.1342922046698
13603;61.9578014833454;44.1340951281345
13654;61.9575442160942;44.1338902115748
13666;61.9573108901272;44.1336698652306
13694;61.9571322172284;44.1334253668124
13731;61.9570484666349;44.133150908378
13757;61.9570996823197;44.1328536613359
13799;61.957303534466;44.1325715026899
13829;61.9576184340931;44.1323921877888
13860;61.9578945721065;44.1324531048775
13889;61.9578226974943;44.1328854625002
13923;61.9569009361074;44.133663747167
13953;61.9544579909147;44.1343457254857
14008;61.9497932422749;44.1337672076415
14034;61.942508952491;44.1299248129949
14083;61.9331014323468;44.1205308241067
14104;61.9238239471557;44.1049276806617
14140;61.919705317155;44.0878928263779
14155;61.929378669156;44.0848370119035
14190;61.9650395017412;44.1254503221982
14228;62.0404640218547;44.2489362325181
14270;62.1671533368893;44.4873416050375
14303;62.3506834819137;44.8493784674546
14332;62.5888343493369;45.3201223839532
14390;62.8724921083173;45.8731576175016
14405;63.1890234780943;46.483121019865
14428;63.5252728511126;47.1314031219828
14459;63.8699211605919;47.8046028659254
14499;64.2159293277303;48.4939628187883
14534;64.5606231407524;49.196232356986
14566;64.902923634943;49.9091852934899
14609;65.2405961804686;50.6289488557077
14643;65.5700202610603;51.353031014184
14676;65.8879130223983;52.0797900908666
14712;66.1922952478498;52.805254341672
14730;66.4823573953771;53.5237751906904
14756;66.7583701970146;54.231816844864
14799;67.0210753876426;54.9313832276926
14845;67.2704495098349;55.6286268640233
14873;67.5050940567523;56.3272389776353
14908;67.7230331977972;57.0230771351726
14935;67.9234315890649;57.7067333570132
14961;68.1071627366139;58.3723295156675
15001;68.2757270226799;59.0222879174637
15026;68.4309028888664;59.6626874586883
15060;68.5747355182332;60.2968946188175
15090;68.7079391828734;60.9255948537349
15127;68.828987696321;61.5488807118641
15158;68.9354062214421;62.1650621961296
15200;69.0249129527552;62.7693211054122
15230;69.0958864090731;63.3556733552911
15263;69.1483418511192;63.9210200884688
15297;69.1841198651676;64.4676060179557
15339;69.2046785551338;65.0021354539062
15366;69.2085761970665;65.5310133214622
15399;69.192348412766;66.0553092650831
15423;69.1541909908296;66.5716191136196
15465;69.0955260520325;67.0754619341516
15497;69.0190464564022;67.562749649418
15528;68.9268287349684;68.0309789962409
15560;68.8199072347139;68.4788676063385
15605;68.6984441601156;68.9052819032406
15632;68.5623724388136;69.3106219144276
15655;68.4117570904117;69.6982599507321
15689;68.2468559970305;70.0734612100312
15721;68.0684450097309;70.4394151717587
15757;67.8774212101595;70.7940398344001
15797;67.6736308832429;71.133443495834
15816;67.4555164975491;71.4567810077248
15861;67.220703979319;71.7638457624305
15896;66.9662592620167;72.0515164422647
15935;66.6889076017511;72.3166872522829
15959;66.3861737173994;72.5587295828784
15990;66.0578435882148;72.7777345815495
16010;65.7065253004056;72.974169122068
16054;65.3361049135069;73.1496898511896
16089;64.9494532466865;73.3065181862933
16119;64.5486137294351;73.44553228978
16160;64.1362689417406;73.5651613985726
16195;63.715128169984;73.6627895342108
16239;63.2857975127106;73.7359584988876
16264;62.8461354777073;73.7842049654779
16300;62.3933968307587;73.8125617516616
16328;61.9267347224161;73.8291418827782
16367;61.4474464020778;73.8377394984631
16398;60.9574226845906;73.8358003916005
16422;60.4571163174974;73.816806765466
16454;59.944836164137;73.7728868009091
16489;59.4180762462556;73.6996213474219
16523;58.8750212568223;73.6002656400232
16559;58.3151482152437;73.4826161880351
16592;57.7389764283898;73.3500886862263
16628;57.1475987164094;73.1984522799245
16660;56.5426636039262;73.0225138037471
16697;55.9259474616852;72.8228704658521
16720;55.2985078869042;72.6040840107305
16762;54.6608275336441;72.3674650010028
16790;54.0136972209278;72.1098696032629
16829;53.3582428552681;71.8301319922009
16860;52.6950476660097;71.5310514607034
16901;52.0237133443544;71.21484549313
16927;51.3435846331189;70.8816770051957
16962;50.6549965342515;70.5331810955914
16991;49.9594521054285;70.1730194235915
17033;49.2585158335987;69.8011771392543
17066;48.5528267757925;69.4114472890111
17089;47.8419882674941;68.9973641022418
17118;47.125428819228;68.5577782404589
17167;46.4034372601262;68.0965060396679
17198;45.6766316895335;67.619590923568
17223;44.9445557137053;67.1318343818485
17255;44.2058304353112;66.6331646284086
17297;43.4592591303995;66.1181529516937
17329;42.7044182542508;65.5809796398986
17356;41.9417779575249;65.022111836705
17382;41.1724773551553;64.4480498704395
17412;40.3985759321672;63.8644656469751
17460;39.6228527715298;63.2718465369632
17481;38.8470063984475;62.6669842143349
17526;38.070944154206;62.0465634808669
17564;37.2938216509279;61.4080170355518
17604;36.5153238974988;60.7491739626995
17619;35.7371930143393;60.0712273654434
17662;34.9626898581135;59.3807033514735
17686;34.1930770797714;58.6839535047952
17713;33.4254283081883;57.9796259451154
17754;32.6545938950409;57.260567050603
17785;31.8772138742332;56.5228839974887
17818;31.0938277215048;55.7683692220315
17860;30.3073085688076;54.9988928986921
17896;29.519920067561;54.2129238651132
17926;28.7325017008273;53.4091996527613
17957;27.9461996305774;52.5930676033251
17989;27.1642267137588;51.7751257506785
18023;26.3912431711072;50.9624413681644
18061;25.6308533971552;50.1543704858264
18095;24.8837924840592;49.345705165784
18116;24.1479062492483;48.5315980359675
18150;23.4197688207985;47.7105286105166
18185;22.6965150846841;46.8821243481138
18210;21.9758775533658;46.0434158346427
18267;21.2563370033481;45.1916936505504
18297;20.5392540850339;44.3297073629169
18321;19.8293186827668;43.4632039147163
18350;19.1316507371715;42.5948820342288
18392;18.4489215027315;41.7237990098091
18428;17.7801940701869;40.8471873806919
18459;17.1218057494147;39.9621243733589
18504;16.470332070579;39.0700507517273
18557;15.8250274486246;38.1771010901811
18581;15.187815528926;37.2871810739381
18594;14.5616467845872;36.3988645463742
18628;13.9486116170525;35.5099122438044
18660;13.3498545351357;34.6217402142262
18686;12.7684985019993;33.739271484511
18724;12.2121913316593;32.8706102609367
18762;11.6910033110604;32.0291355220047
18808;11.2136024256276;31.2340983131219
18838;10.7865792871157;30.5067914463414
18868;10.4150568323839;29.862541131569
18888;10.1021646678992;29.3056191526003
18925;9.8489285767694;28.8315163411014
18964;9.65424521918211;28.4299912443262
18982;9.51346689334271;28.0875192313992
19017;9.41802000265115;27.7945257075454
19058;9.35728498113584;27.5540075019267
19090;9.32071946968496;27.3791072193174
19119;9.29992638073649;27.2765785387505
19155;9.28962037902387;27.2344484398971
19183;9.2863514218996;27.2287134726827
19216;9.28725982340137;27.2376340185072
19246;9.29010035588452;27.248309965729
19293;9.2934279924887;27.2556585992883
